"WOS_ID","Authors","Title","Year","Source","DOI","AdditionalPublications","Country","System","Habitat","DurationDays","NumberOfStressors","FullyFactorial","LargestCombination","SpecificCombinations","Physiological","Individual","Population","Community","Ecosystem","SingleSpecies","TaxonomicGroup","MultipleTimepoints","Recovery","Sequential","StressorOneClass","StressorOneIdentity","StressorOneNote","StressorOneLevels","StressorTwoClass","StressorTwoIdentity","StressorTwoNote","StressorTwoLevels","StressorThreeClass","StressorThreeIdentity","StressorThreeNote","StressorThreeLevels","StressorFourClass","StressorFourIdentity","StressorFourNote","StressorFourLevels","StressorFiveClass","StressorFiveIdentity","StressorFiveNote","StressorFiveLevels","StressorSixClass","StressorSixIdentity","StressorSixNote","StressorSixLevels","StressorSevenClass","StressorSevenIdentity","StressorSevenNote","StressorSevenLevels","StressorEightClass","StressorEightIdentity","StressorEightNote","StressorEightLevels","StressorNineClass","StressorNineIdentity","StressorNineNote","StressorNineLevels","StressorTenClass","StressorTenIdentity","StressorTenNote","StressorTenLevels","StressorElevenClass","StressorElevenIdentity","StressorElevenNote","StressorElevenLevels","StressorTwelveClass","StressorTwelveIdentity","StressorTwelveNote","StressorTwelveLevels","StressorThirteenClass","StressorThirteenIdentity","StressorThirteenNote","StressorThirteenLevels","StressorFourteenClass","StressorFourteenIdentity","StressorFourteenNote","StressorFourteenLevels","StressorFifteenClass","StressorFifteenIdentity","StressorFifteenNote","StressorFifteenLevels","StressorSixteenClass","StressorSixteenIdentity","StressorSixteenNote","StressorSixteenLevels","StressorSeventeenClass","StressorSeventeenIdentity","StressorSeventeenNote","StressorSeventeenLevels","StressorEighteenClass","StressorEighteenIdentity","StressorEighteenNote","StressorEighteenLevels","StressorNineteenClass","StressorNineteenIdentity","StressorNineteenNote","StressorNineteenLevels","StressorTwentyClass","StressorTwentyIdentity","StressorTwentyNote","StressorTwentyLevels","StressorTwentyOneClass","StressorTwentyOneIdentity","StressorTwentyOneNote","StressorTwentyOneLevels","StressorTwentyTwoClass","StressorTwentyTwoIdentity","StressorTwentyTwoNote","StressorTwentyTwoLevels"
"WOS:000074189600027","Carder, JP; Hoagland, KD","Combined effects of alachlor and atrazine on benthic algal communities in artificial streams",1998,"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","10.1002/etc.5620170727",NA,"usa","lab",NA,"28",2,"yes",2,"1-2,","no","no","no","yes","no",NA,NA,"yes","no","no","herbicide","atrazine","Concentrations were 0.0, 12.0, and 150.0 μg/L",3,"herbicide","alachlor","Concentrations were 0.0, 5.0, and 90.0 μg/L",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000074691500014","Andres, S; Ribeyre, F; Boudou, A","Effects of temperature and exposure duration on transfer of cadmium between naturally contaminated sediments and burrowing mayfly nymphs (Hexagenia rigida)",1998,"ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","10.1007/s002449900379",NA,"france","lab",NA,"60",2,"yes",2,"1-2,","yes","no","no","no","no","hexagenia rigida","insecta","yes","no","yes","temperature","temperature range","The complete experimental design consisted of 18 different ecotoxicological conditions (3 exposure durations 3 3 temperatures 3 2 sediments) with two replicates for each treatment. For each sediment, the chronological approach to Cd transfers was based on three sampling points: 20, 40, and 60 days of exposure, for the three temperature levels selected (12, 18, and 24°C).",3,"metals","cadmium","The complete experimental design consisted of 18 different ecotoxicological conditions (3 exposure durations 3 3 temperatures 3 2 sediments) with two replicates for each treatment. For each sediment, the chronological approach to Cd transfers was based on three sampling points: 20, 40, and 60 days of exposure, for the three temperature levels selected (12, 18, and 24°C).",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000075805400023","Reid, SD; Linton, TK; Dockray, JJ; McDonald, DG; Wood, CM","Effects of chronic sublethal ammonia and a simulated summer global warming scenario: protein synthesis in juvenile rainbow trout (Oncorhynchus mykiss)",1998,"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES","10.1139/f98-021",NA,"canada","mesocosm","lotic","90",2,"yes",2,"1-2,","yes","yes","no","no","no","oncorhynchus mykiss","fish","yes","no","no","nutrients","ammonia","contorl vs additional 70 µM total ammonia",2,"temperature","warming","control or base temperature raised by 2°C",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000077057300022","Ankley, GT; Tietge, JE; DeFoe, DL; Jensen, KM; Holcombe, GW; Durhan, EJ; Diamond, SA","Effects of ultraviolet light and methoprene on survival and development of Rana pipiens",1998,"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","10.1002/etc.5620171222",NA,"usa","lab",NA,"113",2,"yes",2,"1-2,","no","yes","no","no","no","rana pipiens","amphibia","yes","no","no","insecticide","methoprene","concentrations of methoprene were generated: 1.95, 7.8, 31.3, 125, and 500 μg/L. With and without UVA-340 lamps",6,"UV light","UVA","concentrations of methoprene were generated: 1.95, 7.8, 31.3, 125, and 500 μg/L. With and without UVA-340 lamps",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000077057300023","Zaga, A; Little, EE; Rabeni, CE; Ellersieck, MR","Photoenhanced toxicity of a carbamate insecticide to early life stage anuran amphibians",1998,"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","10.1002/etc.5620171223",NA,"usa","lab",NA,"4",2,"yes",2,"1-2,","no","yes","yes","no","no","xenopus laevis; hyla versicolor","amphibia","no","no","no","insecticide","carbaryl","Treatment levels for carbaryl included an acetone control and three carbaryl concentrations, the highest being the previously determined LC50 value for the test species and life stage carbaryl (technical-grade with a 99.7% active ingredient composition)",4,"UV light","UVB","control (0), 4 and 65 μW/cm2 UV-B",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000077425600005","Wang, T; Knudsen, PK; Brauner, CJ; Busk, M; Vijayan, MM; Jensen, FB","Copper exposure impairs intra- and extracellular acid-base regulation during hypercapnia in the fresh water rainbow trout (Oncorhynchus mykiss)",1998,"JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY","10.1007/s003600050181",NA,"denmark","lab",NA,"1",2,"yes",2,"1-2,","yes","no","no","no","no","oncorhynchus mykiss","fish","yes","no","no","carbon dioxide","increased carbon dioxide","CO2 added to water with gas pumps",4,"metals","copper","Added to water",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000077494600019","Moore, MK; Klerks, PL","Interactive effect of high temperature and low pH on sodium flux in tadpoles",1998,"JOURNAL OF HERPETOLOGY","10.2307/1565217",NA,"usa","lab",NA,"1",2,"yes",2,"1-2,","yes","no","no","no","no","acris gryllus; rana clamitans","amphibia","no","no","no","temperature","warming","Treatment of room temperature or high temperaure",2,"acidity","low pH","Treatment of ambient pH or low pH",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000077818600012","Rae, R; Vincent, WF","Effects of temperature and ultraviolet radiation on microbial foodweb structure: potential responses to global change",1998,"FRESHWATER BIOLOGY","10.1046/j.1365-2427.1998.00361.x",NA,"canada","lab",NA,"6",2,"yes",2,"1-2,","no","no","no","yes","yes",NA,NA,"yes","no","no","temperature","warming","10 deg C vs 20 deg C",2,"UV light","UV light","three near-surface irradiance conditions [photosynthetically active radiation (PAR) + UVA + UVB, PAR + UVA, and PAR only).",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000077883900001","Marr, JCA; Hansen, JA; Meyer, JS; Cacela, D; Podrabsky, T; Lipton, J; Bergman, HL","Toxicity of cobalt and copper to rainbow trout: application of a mechanistic model for predicting survival",1998,"AQUATIC TOXICOLOGY","10.1016/S0166-445X(98)00061-7",NA,"usa","lab",NA,"14",2,"yes",2,"1-2,","no","no","yes","no","no","oncorhynchus mykiss fry","fish","yes","no","no","metals","copper","50 μg 1-1, 250 μg 1-1",3,"metals","cobalt","0, 7, 14, 28, 56, 112 mg 1-1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000078695000011","Huovinen, PS; Brett, MT; Goldman, CR","Temporal and vertical dynamics of phytoplankton net growth in Castle Lake, California",1999,"JOURNAL OF PLANKTON RESEARCH","10.1093/plankt/21.2.373",NA,"usa","mesocosm","lentic","4",2,"yes",2,"1-2,","yes","no","no","yes","no",NA,NA,"no","no","no","nutrients","nutrient enrichment","50 μg P and 300 μg N were added to enriched treatments",2,"biological alterations","species loss","Crustacean zooplankton were removed by filtering water through 83 μm mesh",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
