"","WOS_ID","Title","Abstract","Included","Training_Included","sim"
"11","WOS:000581030700097","Integrated ecotoxicological assessment of the complex interactions between chlorpyrifos and glyphosate on a non-target species Cnesterodon decemmaculatus (Jenyns, 1842)","Pesticide mixtures are frequent in freshwaters systems around the world, threatening the biota exposed to these conditions. The aim of this study was to determine the single and joint effect of two widely used pesticides in southern South America on a widely distributed fish species. In a 96-h assay, individuals of Cnesterodon decemmaculatus were exposed to 0.84 nL/L and 8.4 nL/L of Clorfox and 0.2 mg/L and 2 mg/L of Roundup Max, commercial formulations of chlorpyrifos and glyphosate, respectively. Also, there were four mixture treatments with all the possible combinations of both pesticides. A multi-level approach was carried out to assess their effects covering the following relevant biomarkers: behavior (immobile time, line crossings and average speed), somatic conditions (Fulton condition factor and hepatosomatic index), serum parameters (cortisol levels, lactate dehydrogenase (LDH), and creatine phosphokinase activity (CPK)), brain and muscle acetylcholinesterase and cytological characteristics (micronuclei frequency and nuclear abnormalities in erythrocytes). Our results showed that Clorfox exposures affect behavioral parameters, serum cortisol, and nuclear characteristics of erythrocytes. Roundup Max affects only the cortisol levels whereas mixture treatments have an effect on behavioral parameters, cortisol levels, LDH and CPK activities, and nuclear characteristics of erythrocytes. Potentiation was the main interaction at the lowest concentrations of both pesticides whereas antagonism occurred at the highest concentrations of both pesticides. These results are highly significant since they arise from an integrated ecotoxicological assessment at several levels of biological organization but even more important is that the potentiated effects of the mixtures we registered are environmentally relevant concentrations. (C) 2020 Elsevier Ltd. All rights reserved.",1,1,"biased"
"12","WOS:000304569700012","Oxidative stress response and histopathological changes due to atrazine and chlorpyrifos exposure in common carp","Atrazine (ATR) and chlorpyrifos (CPF) are the most common pesticides found in freshwater ecosystems throughout the world. Herein, we investigated the oxidative stress responses and histopathological changes in the liver and gill of common carp after a 40-d exposure to CPF and AIR, alone or in combination, and a 20-d recovery treatment. We found that exposure to ATR, CPF or their mixture for 40 d could induce decrease in antioxidant enzyme (SOD, CAT and GSH-Px) activities and increase in MDA content in a dose-dependent manner in the liver and gill of common carp. Especially with regard to the pathological changes, the tissue damage increased in severity in a dose-dependent manner. The liver tissue of common carp revealed different degree of hydropic degeneration, vacuolisation, Pyknotic nuclei, and fatty infiltration. The gills of common carp displayed varied degrees of epithelial hypertrophy, telangiectasis, oedema with epithelial separation from basement membranes, general necrosis, and epithelial desquamation. After a 20-d recovery treatment, the antioxidant enzyme activities and MDA content were significantly lower (p < 0.05) than in the corresponding exposure groups in all of the highest doses, but not in the lower doses. To our knowledge, this is the first report of subchronic oxidative stress and histopathological effects caused by ATR, CPF and their mixture in the common carp. Thus, the information presented in this study is helpful to understand the mechanism of ATR-, CPF- and ATR/CPF-mixture-induced oxidative stress in fish. (C) 2012 Elsevier Inc. All rights reserved.",1,1,"biased"
"13","WOS:000424130500007","Strong differences between two congeneric species in sensitivity to pesticides in a warming world","To predict the impact of pesticides in a warming world we need to know how species differ in the interaction pathways between pesticides and warming. Trait-based approaches have been successful in identifying the 'pace of life' and body size as predictors of sensitivity to pesticides among distantly related species. However, it remains to be tested whether these traits allow predicting differences in sensitivity to pesticides between closely related species, and in the strength of the interaction pathways between pesticides and warming. We tested the effects of multiple pulses of chlorpyrifos (allowing accumulation) under warming on key life history traits, heat tolerance (CTmax) and physiology of two congeneric damselfly species: the fast-paced (fast growth and development, high metabolic rate), small Ischnura pumilio and the slow-paced, large I. elegans. Chlorpyrifos reduced survival and growth, but contrary to current trait-based predictions I. pumilio was 8 x less sensitive than I. elegans. The lower sensitivity of I. pumilio could be explained by a higher fat content, and higher activities of acetylcholinesterase and of detoxifying and anti-oxidant enzymes. While for I. pumilio the effect of chlorpyrifos was small and did not depend on temperature, for I. elegans the impact was higher at 20 degrees C compared to 24 degrees C. This matches the higher pesticide accumulation in the water after multiple pulses at 20 degrees C than at 24 degrees C. The expected reduction in heat tolerance after pesticide exposure was present in I. elegans but not in I. pumilio. Our results demonstrate that closely related species can have very different sensitivities to a pesticide resulting in species-specific support for the toxicant-induced climate change sensitivity and the climate-induced toxicant sensitivity interaction pathways. Our results highlight that trait-based approaches can be strengthened by integrating physiological traits. (c) 2017 Elsevier B.V. All rights reserved.",1,1,"biased"
"14","WOS:000519994800130","The effect of warming on pesticide toxicity is reversed between developmental stages in the mosquito Culex pipiens","A better understanding of interactions between pesticides and warming is important to improve ecological risk assessment in a warming world. Current insights are almost exclusively based on studies that exposed animals simultaneously to both warming and a pesticide and focused on effects during the pesticide exposure period and within a single developmental stage. We studied two ignored aspects of the interplay between warming and pesticide exposure: (i) the role of delayed effects after the pesticide exposure period, and (ii) the dependence on the developmental stage. We carried out a longitudinal experiment from the egg stage to the adult stage in the mosquito Culex pipiens where we crossed a warming treatment (20 degrees C vs 24 degrees C) with 48 h exposures to the pesticide chlorpyrifos in three developmental stages (early L1 larvae, late L4 larvae and adults). Chlorpyrifos induced mild to moderate mortality in all developmental stages (10-30%). A key finding was that warming shaped the chlorpyrifos-induced mortality but in opposite directions between stages. Chlorpyrifos was 7% less toxic under warming in L1 larvae, yet more toxic under warming in L4 larvae (22%) and in adult males (33%), while toxicity did not change under warming in adult females. We hypothesize that the general, stage-specific differences in the effects of warming on body size (increased size in early larvae, decreased size in later stages) caused the reversal of the effects of warming on toxicity between stages. Previous larval exposure to chlorpyrifos caused delayed effects that strongly reduced survival to the adult stage (25% at 24 degrees C). Notably, warming also modulated these delayed mortality effects in opposite ways between developmental stages, matching the patterns of mortality during the pesticide exposure periods. Integrating the general stage-specific patterns of how warming shapes body size is important to advance our mechanistic understanding of the interactions between pesticides and warming. (C) 2019 Elsevier B.V. All rights reserved.",1,1,"biased"
"15","WOS:000241781400007","Interactive effect of monocrotophos and ammonium chloride on the freshwater fish Oreochromis mossambicus with reference to lactate/pyruvate ratio","Sublethal effect of monocrotophos (pesticide) and ammonium chloride (fertilizer) was studied in the freshwater fish Oreochromis mossambicus, with reference to carbohydrate metabolism for a period of 96 h. The glycogen content was analysed in liver and muscle, while the lactate and pyruvate were assessed in blood along with liver and muscle. The results revealed that the glycogen content was found to be decreasing. In contrast increase in the tissues lactate and pyruvate level was found in the fishes exposed to pesticide and fertilizer individually and in combinations. The combined effects of these chemicals were more toxic to carbohydrate metabolism than the effect produced by the individual chemicals. The results were tested to search for statistical significance. The calculated lactate and pyruvate ratio (UP) indicated that the fishes were under chemical stress. (c) 2006 Elsevier Inc. All rights reserved.",1,1,"biased"
"16","WOS:000512006200001","Effect of spirotetramat and 2,4-dichlorophenoxyacetic pesticides on two phytoplankton species (Monoraphidium griffithii and Coscinodiscus sp.) in a single and compound mixture laboratory exposure","This study was carried out to assess the chronic effects of both an insecticide (spirotetramat) and a herbicide (2,4-Dichlorophenoxyacetic acid) on two phytoplankton species: Monoraphidium griffithii and Coscinodiscus sp. The effects of the chemicals on an exponentially-growing population of the two species were evaluated using single compounds and a compound mixture. The experiments lasted for 27 days. The results show a decrease in the populations' growth for both species after the application of single pesticides and the mixture. 2,4-D applied alone and the mixture of both chemicals have affected the organisms the most. Both pesticides have induced an increase in chlorophyll-a content in M. griffithii while no effect was observed on chlorophyll-a in Coscinodiscus sp. A significant effect was recorded in the cell size of both species with both pesticides. The two spirotetramat tested concentrations have induced an increase in cell size, while the opposite effect was obtained for the (2,4-D) herbicide concentrations. The mixture of compounds induced an additive effect on the cell size of both species. These results indicate the risk which the two chemicals represent in a natural environment. They are agents that can have chronic impairments at the physiology or behavior level of such phytoplankton species as M. griffithii or Coscinodiscus sp. Such impairments might consequently affect the health of the ecosystem.",1,1,"biased"
"17","WOS:000537416400002","Gammarid exposure to pyriproxyfen and/or cadmium: what effects on the methylfarnesoate signalling pathway?","Due to expected changes in climate, it is predicted that disease-carrying mosquitoes will expand their geographical range, resulting in increased use of insect growth regulators (IGRs) to face their proliferation. Among IGRs, pyriproxyfen (PXF) is widely used and has been shown to prevent larvae from developing into adults, rendering them unable to reproduce. However, because of the similarity of crustacean and insect endocrine systems, PXF could also impact aquatic crustaceans. In addition, when spreading in the environment, PXF is found in a mixture with other pollutants such as metallic trace elements, which could alter its effect. Consequently, the present work was devoted to analysing the effects of PXF on the methylfarnesoate (MF) hormonal pathway of the freshwater amphipod Gammarus pulex, as well as its combined binary effects with cadmium (Cd), by measuring MF concentration, as well as the relative transcriptional expression of the farnesoic acid O-methyltransferase (FAMeT) (enzyme limiting the MF production), the methoprene-tolerant receptor (Met), and the broad-complex (BrC) as a transcription factor. Results revealed that single exposures to PXF or Cd have mainly overexpressed FAMeT, Met, and BrC but did not significantly affect MF concentration. Conversely, the mixture exposures seemed to suppress these effects and even achieve antagonistic effects. This work confirmed that PXF single exposure could impact non-target organisms such as amphipods through changes in hormonal pathways of MF. In the same way, it highlighted that Cd could also impair the endocrine system of exposed organisms. However, antagonistic effects have been observed in exposure to mixtures, suggesting different long-term consequences on the growth of amphipods under realistic exposure conditions.",1,1,"biased"
"18","WOS:000646806700001","Early Toxic Effects in a Central American Native Fish (Parachromis dovii) Exposed to Chlorpyrifos and Difenoconazole","In Costa Rica, agriculture is one of the most important economic activities. Chlorpyrifos and difenoconazole have been identified as agrochemicals widely used in banana and pineapple crops in the Caribbean area of the country and are constantly recorded in aquatic ecosystems. The toxicity of these pesticides in Parachromis dovii was studied. Median lethal concentrations (LC50s) for each substance were obtained from 96-h acute tests. Then, fish were exposed to sublethal concentrations of both substances (10% of LC50), individually and in mixture, to evaluate biomarker responses. Ethoxyresorufin-O-deethylase (EROD), catalase, and glutathione S-transferase activities as well as lipid peroxidation were measured in liver and gill tissues as markers of biotransformation and oxidative stress processes. Cholinesterase activity in brain and muscle tissue was also quantified as a biomarker of toxicity. The LC50s were 55.34 mu g/L (95% confidence interval [CI] 51.06-59.98) for chlorpyrifos and 3250 mu g/L (95% CI 2770-3810) for difenoconazole. Regarding the biomarkers, a significant inhibition of brain and muscle cholinesterase activity was recorded in fish exposed to 5.50 mu g/L of chlorpyrifos. This activity was not affected when fish were exposed to the mixture of chlorpyrifos with difenoconazole. Significant changes in lactate dehydrogenase activity were observed in fish exposed to 325 mu g/L of difenoconazole, whereas fish exposed to the mixture showed a significant increase in EROD activity in the liver. These results suggest harmful effects of chlorpyrifos insecticide at environmentally relevant concentrations. There is also evidence for an interaction of the 2 substances that affects the biotransformation metabolism at sublethal levels of exposure. Environ Toxicol Chem 2021;00:1-10. (c) 2021 SETAC",1,1,"biased"
"19","WOS:000368888100023","Cadmium potentiates toxicity of cypermethrin in zebrafish","Co-occurrence of pesticides such as synthetic pyrethroids and metals in aquatic ecosystems raises concerns over their combined ecological effects. Cypermethrin, 1 of the top 5 synthetic pyrethroids in use, has been extensively detected in surface water. Cadmium (Cd) has been recognized as 1 of the most toxic metals and is a common contaminant in the aquatic system. However, little information is available regarding their joint toxicity. In the present study, combined toxicity of cypermethrin and Cd and the underlying mechanisms were investigated. Zebrafish embryos and adults were exposed to the individual contaminant or binary mixtures. Co-exposure to cypermethrin and Cd produced synergistic effects on the occurrence of crooked body, pericardial edema, and noninflation of swim bladder. The addition of Cd significantly potentiated cypermethrin-induced spasms and caused more oxidative stress in zebrafish larvae. Cypermethrin-mediated induction of transcription levels and catalytic activities of cytochrome P450 (CYP) enzyme were significantly down-regulated by Cd in both zebrafish larvae and adults. Chemical analytical data showed that in vitro elimination of cypermethrin by CYP1A1 was inhibited by Cd. The addition of Cd caused an elevation of in vivo cypermethrin residue levels in the mixture-exposed adult zebrafish. These results suggest that the enhanced toxicity of cypermethrin in the presence of Cd results from the inhibitory effects of Cd on CYP-mediated biotransformation of this pesticide. The authors' findings provide a deeper understanding of the mechanistic basis accounting for the joint toxicity of cypermethrin and Cd. Environ Toxicol Chem 2016;35:435-445. (c) 2015 SETAC",1,1,"biased"
"20","WOS:000593905500004","Time-cumulative effects of neonicotinoid exposure, heatwaves and food limitation on stream mayfly nymphs: A multiple-stressor experiment","The global intensification of agriculture has resulted in pesticides playing an increasingly important role as anthropogenic stressors and drivers of environmental change. There is also a growing need to determine if other environmental stressors, especially those predicted to worsen with climate change, interact with pesticides to alter their effects on non-target biota. Two such stressors are increased extreme temperature events and periods of food limitation. This study is the first to investigate the combined effects of the world's most widely used insecticide, imidacloprid, with heatwaves and food limitation on a freshwater animal. A 6-week, full-factorial laboratory experiment with Deleatidium spp. mayfly nymphs was performed to investigate the potential for direct and delayed interactive effects of simulated heatwaves and starvation with chronic exposure to a field-realistic concentration of imidacloprid (0.4 mu g/L). The experiment included two 6-day simulated heatwaves, one during a starvation period prior to imidacloprid addition, and one during the first 6 days of imidacloprid exposure. The simulated heatwaves alone caused such drastic negative effects on Deleatidium survival and mobility that mainly antagonistic interactions were observed with the other stressors, though delayed synergisms between imidacloprid and the second heatwave also affected mayfly mobility. Time-cumulative toxicity of imidacloprid was evident, with imidacloprid first affecting mayfly mobility after 12 days but eventually causing the strongest effects of all manipulated stressors. However, lethal effects of imidacloprid could only be detected in the absence of heatwaves and starvation, possibly as a result of selection for stronger individuals due to prior exposure to these stressors. Our findings demonstrate that heatwaves of increasing severity will critically affect sensitive freshwater organisms such as mayflies, and that the impacts of widespread pesticide use on freshwater ecosystems under global climate change cannot be ignored. (C) 2020 Elsevier B.V. All rights reserved.",1,1,"biased"
